departamento,comuna,contexto01,contexto02,contexto03,contexto04,contexto05,contexto06,contexto07,contexto08,contexto09,contexto10,contexto11,contexto12,contexto13,contexto14,contexto15,contexto16,contexto17,contexto18,contexto19,contexto20,contexto21,contexto22,contexto23,epidemiologia1,epidemiologia2,epidemiologia3,epidemiologia4,epidemiologia5,epidemiologia6,epidemiologia7,epidemiologia8,epidemiologia9,epidemiologia10,epidemiologia11,mitigacion01,mitigacion02,mitigacion03,mitigacion04,mitigacion05,mitigacion06,mitigacion07,mitigacion08,mitigacion09,mitigacion10,mitigacion11,mitigacion12,mitigacion13,mitigacion14,mitigacion15,mitigacion16,mitigacion17,mitigacion18,mitigacion19,mitigacion20,mitigacion21,mitigacion22,mitigacion23,SCORE
Rio Cuarto, Las Higueras,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,26
Rio Primero, Atahona,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,6,0,2,0,0,0,0,26
Santa Maria, La Rancherita,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,6,0,2,0,0,0,0,26
Union, Chilibroste,8,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,26
San Justo, Porteña,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,2,0,3,0,0,26
Tercero Arriba, Zona Rural No Comprendida En Municipios O Comunas,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,2,0,3,0,0,26
Juarez Celman, Charras,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,6,0,2,0,0,0,0,26
Rio Cuarto, Monte De Los Gauchos,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,26
Union, Monte Leña,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,26
San Javier, Villa De Las Rosas,8,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,3,26
