departamento,comuna,contexto01,contexto03,contexto06,contexto08,contexto10,contexto11,contexto12,contexto13,contexto14,contexto15,contexto16,contexto17,contexto21,contexto22
Pte.R.S. Peña, Rosales,4,0,0,0,0,0,0,0,1,0,1,0,0,0
Pte.R.S. Peña, San Joaquin,4,0,0,0,0,0,0,0,1,0,1,0,0,1
Pte.R.S. Peña, Serrano,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Pte.R.S. Peña, Villa Rossi,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Pte.R.S. Peña, Zona Rural No Comprendida En Municipios O Comunas,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Punilla, Bialet Masse,4,0,0,0,1,0,0,0,1,0,0,0,0,0
Punilla, Cabalango,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Punilla, Capilla Del Monte,4,0,0,0,1,0,0,0,1,1,0,0,0,0
Punilla, Casa Grande,4,0,0,1,1,0,0,0,0,1,0,0,0,0
Punilla, Charbonier,4,0,0,0,0,0,0,0,0,1,0,0,0,0
Punilla, Cosquin,4,0,0,0,1,0,0,0,0,0,0,0,0,0
Punilla, Cuesta Blanca,4,0,0,0,1,0,0,0,1,0,0,0,0,0
Punilla, Estancia Vieja,4,0,0,0,0,0,0,0,1,1,1,1,0,0
Punilla, Huerta Grande,4,0,0,0,0,0,0,0,1,0,0,0,0,0
Punilla, La Cumbre,4,0,0,0,0,0,0,0,1,1,0,0,0,0
Punilla, La Falda,4,0,0,0,1,1,0,0,0,0,0,0,0,0
Punilla, Los Cocos,4,0,0,0,1,0,0,0,0,1,0,0,0,0
Punilla, Mayu Sumaj,4,0,0,0,0,0,0,0,1,0,0,0,0,0
Punilla, San Antonio De Arredondo,4,0,0,0,1,0,0,0,0,1,0,0,0,0
Punilla, San Esteban,4,0,0,0,0,0,0,0,1,1,1,0,0,0
Punilla, San Roque,4,0,0,0,1,0,0,0,0,0,0,0,0,0
Punilla, Santa Maria De Punilla,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Punilla, Tala Huasi,4,0,0,0,1,0,0,0,1,1,1,0,0,1
Punilla, Tanti,4,0,0,0,1,0,0,0,0,1,0,0,0,0
Punilla, Valle Hermoso,4,0,0,0,0,0,0,0,1,0,1,0,0,0
Punilla, Villa Carlos Paz,4,0,0,0,1,0,0,0,0,1,0,0,0,0
Punilla, Villa Giardino,4,0,0,0,1,0,0,0,0,0,0,0,0,0
Punilla, Villa Parque Siquiman,4,0,0,0,1,0,0,0,0,0,0,0,0,0
Punilla, Villa Rio Icho Cruz,4,0,0,0,1,0,0,0,1,0,1,0,0,0
Punilla, Villa Santa Cruz Del Lago,4,0,0,0,1,0,0,0,0,0,0,0,0,0
Punilla, Zona Rural No Comprendida En Municipios O Comunas,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Rio Cuarto, Achiras,4,0,0,0,0,1,0,0,1,0,0,0,0,1
Rio Cuarto, Adelia Maria,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Rio Cuarto, Alcira,4,0,0,0,0,1,0,0,0,0,0,0,0,1
Rio Cuarto, Alpa Corral,4,0,0,0,0,0,0,0,1,1,1,0,0,0
Rio Cuarto, Berrotaran,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Rio Cuarto, Bulnes,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Rio Cuarto, Chajan,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Rio Cuarto, Chucul,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Rio Cuarto, Coronel Baigorria,4,0,0,0,0,0,0,0,1,0,1,0,0,0
Rio Cuarto, Coronel Moldes,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Rio Cuarto, Elena,0,0,1,0,0,1,0,0,0,0,0,0,0,1
Rio Cuarto, La Carolina El Potosi,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Rio Cuarto, La Cautiva,4,0,0,0,0,0,0,0,1,0,0,0,0,0
Rio Cuarto, Las Acequias,4,0,0,0,0,0,0,0,1,0,1,0,0,0
Rio Cuarto, Las Albahacas,4,0,0,0,0,1,0,0,0,0,0,0,0,0
Rio Cuarto, Las Higueras,4,0,0,0,1,0,0,0,0,0,0,0,0,0
Rio Cuarto, Las Peñas Sud,4,0,0,0,0,0,0,0,0,1,1,0,0,0
